Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Contravention,Contravention Description
01/04/2019 08:42,-£25.00,Pre-NtO Discount,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 08:44,-£35.00,Post NtO,Burnage Lane (Burnage),Burnage,CCTV Issue,School Entrance Markings T2A,£0.00,48,Stopped in a restricted area outside a school 
01/04/2019 08:44,-£35.00,Post NtO,Burnage Lane (Burnage),Burnage,Postal-vehicle drive away,School Entrance Marking,£0.00,48,Stopped in a restricted area outside a school 
01/04/2019 08:45,-£70.00,Post NtO,Blossom Street,Anc & Besw,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 08:46,-£25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 08:47,-£25.00,Post NtO,George Street,Deansgate,Postal - Prevented From Serving,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 08:48,£0.00,Post NtO,Blossom Street,Anc & Besw,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 08:48,-£25.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/04/2019 08:49,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 08:52,-£35.00,Post NtO,Seymour Road South,Clayt & Open,CCTV Issue,School Entrance Marking,£0.00,48,Stopped in a restricted area outside a school 
01/04/2019 08:52,-£30.00,Post NtO,Oldham Road (Lowcross Road to Ten Acres Lane),Newton Heath,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 08:53,-£35.00,Pre-NtO Discount,Naval Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 08:53,-£60.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 08:54,-£50.00,Post NtO,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/04/2019 08:54,£0.00,Post NtO,Faulkner Street,Deansgate,Affixed to vehicle,GV Loading Bay,£70.00,25,Parked in a loading place during restricted hours without loading 
01/04/2019 08:55,£0.00,Cancelled,Lower Byrom Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 08:57,-£35.00,Post NtO,Seymour Road South,Clayt & Open,CCTV Issue,School Entrance Marking,£0.00,48,Stopped in a restricted area outside a school 
01/04/2019 08:58,-£35.00,Pre-NtO Discount,Lloyd Street North (Hulme),Hulme,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 08:58,-£35.00,Post NtO,Darley Avenue (ChorltonPark),ChorltonPark,Postal-vehicle drive away,School Entrance Marking,£0.00,99,Stopped on a pedestrian crossing and/or crossing area marked by zig-zags  
01/04/2019 08:58,£0.00,Post CC,Seymour Road South,Clayt & Open,CCTV Issue,School Entrance Marking,£105.00,48,Stopped in a restricted area outside a school 
01/04/2019 08:58,-£30.00,Post NtO,Greenheys Lane (West Of Charles Halle Road),Hulme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 08:59,-£35.00,Post NtO,Mauldeth Road (DidsburyWest),DidsburyWest,Postal-vehicle drive away,School Entrance Marking,£0.00,48,Stopped in a restricted area outside a school 
01/04/2019 09:00,-£25.00,Pre-NtO Discount,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 09:01,-£25.00,Pre-NtO Discount,Hanover Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 09:03,-£35.00,Post NtO,Darley Avenue (ChorltonPark),ChorltonPark,Postal-vehicle drive away,School Entrance Marking,£0.00,99,Stopped on a pedestrian crossing and/or crossing area marked by zig-zags  
01/04/2019 09:04,£0.00,Post NtO,Lower Byrom Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 09:04,-£35.00,Pre-NtO Full Rate,Upper Lloyd Street,Moss Side,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 09:13,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 09:13,-£25.00,Pre-NtO Discount,York Street (Off Charles Street),Deansgate,Affixed to vehicle,Restricted Area,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 09:18,-£90.00,Post CC,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 09:20,-£70.00,Pre-NtO Discount,Mount Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,GV Loading Bay,£0.00,25,Parked in a loading place during restricted hours without loading 
01/04/2019 09:23,£0.00,Post NtO,Chester Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 09:28,£0.00,Post NtO,Hilton Street (City Centre : ZONEA),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
01/04/2019 09:29,-£35.00,Pre-NtO Discount,Nicholas Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40,Parked in a designated disabled person's parking place without displaying a valid disabled person's badge. 
01/04/2019 09:30,£0.00,Post NtO,Chancery Lane,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 09:30,£0.00,Pre-NtO Full Rate,Rochdale Road (Lathbury Road to Queens Road),MP&NH,CCTV Issue,Restricted Area,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 09:32,-£70.00,Pre-NtO Discount,Rainforth Street,Longsight,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 09:32,£0.00,Post CC,Ardwick Green South (Ardwick Green North to Higher Ardwick),Ardwick,CCTV Issue,Bus Lane,£90.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 09:33,£0.00,Cancelled,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/04/2019 09:36,-£35.00,Pre-NtO Discount,Dickenson Road,Longsight,Handed To Driver,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 09:42,-£25.00,Pre-NtO Discount,Ducie Street (City Centre : ZONEC),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 09:42,£0.00,Post NtO,Pencroft Way,Hulme,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 09:44,-£30.00,Post NtO,Barlow Moor Road (Nw Of Lancaster Road to Palatine Road),Besw&Clayton,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 09:45,-£50.00,Pre-NtO Discount,Travis Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 09:46,£0.00,Post NtO,St James`s Square,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 09:48,-£30.00,Post NtO,Barlow Moor Road (Nw Of Lancaster Road to Palatine Road),Besw&Clayton,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 09:48,-£35.00,Post NtO,Freeman Square,Hulme,Postal-vehicle drive away,Residents Parking,£0.00,12,Parked in a residents' or shared use parking place without clearly displaying either a permit or voucher or pay and display ticket issued for that place 
01/04/2019 09:49,-£35.00,Pre-NtO Discount,Albany Road,Chorlton,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 09:49,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 09:52,-£25.00,Pre-NtO Discount,Lloyd Street,Moss Side,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 09:53,-£30.00,Post NtO,Ardwick Green South (Ardwick Green North to Higher Ardwick),Ardwick,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 09:55,-£25.00,Pre-NtO Discount,St James`s Square,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 09:56,-£25.00,Pre-NtO Discount,Travis Street (station) Car Park,Piccadilly,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/04/2019 09:56,£0.00,Post CC,Wilbraham Road (Chorlton),Chorlton,Postal-vehicle drive away,Disabled Persons Parking Place,£105.00,40,Parked in a designated disabled person's parking place without displaying a valid disabled person's badge. 
01/04/2019 09:57,£0.00,Cancelled,Travis Street (station) Car Park,Piccadilly,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/04/2019 09:59,-£50.00,Post NtO,Travis Street (station) Car Park,Piccadilly,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/04/2019 10:00,-£25.00,Pre-NtO Discount,Park Street (Car Park),Cheetham,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/04/2019 10:00,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 10:00,£0.00,Post NtO,Chester Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 10:00,-£25.00,Pre-NtO Discount,Carmoor Road,Ardwick,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 10:00,-£35.00,Pre-NtO Discount,Barlow Moor Road (Chorlton),Chorlton,Handed To Driver,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 10:01,-£25.00,Pre-NtO Discount,Park Street (Car Park),Cheetham,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/04/2019 10:03,£0.00,Cancelled,Park Street (Car Park),Cheetham,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/04/2019 10:05,£0.00,Cancelled,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 10:05,£0.00,Cancelled,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 10:05,£0.00,Post NtO,John Dalton Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
01/04/2019 10:07,-£70.00,Pre-NtO Full Rate,Southgate (City Centre),Deansgate,Handed To Driver,GV Loading Bay,£0.00,25,Parked in a loading place during restricted hours without loading 
01/04/2019 10:10,-£35.00,Post NtO,George Street,Deansgate,Postal - Prevented From Serving,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 10:13,-£50.00,Post NtO,John Dalton Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
01/04/2019 10:13,-£35.00,Pre-NtO Discount,DUNLOP STREET,Central,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 10:17,-£25.00,Pre-NtO Discount,Sheffield Street Car Park,Piccadilly,Affixed to vehicle,Car Park,£0.00,82,Parked after the expiry of paid for time  
01/04/2019 10:18,£0.00,Pre-NtO Full Rate,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 10:19,-£25.00,Pre-NtO Discount,Hall Car Park,(None),Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/04/2019 10:22,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 10:23,£0.00,Post CC,Rochdale Road (Livesey Street to Thompson Street),Harpurhey,CCTV Issue,Bus Lane,£90.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 10:23,£0.00,Cancelled,Wilbraham Road (Chorlton),Chorlton,Postal-vehicle drive away,No Waiting At Any Time,£0.00,99,Stopped on a pedestrian crossing and/or crossing area marked by zig-zags  
01/04/2019 10:25,-£35.00,Pre-NtO Discount,Oxford Street,Deansgate,Affixed to vehicle,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
01/04/2019 10:30,-£50.00,Pre-NtO Full Rate,Aytoun Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 10:30,£0.00,Post NtO,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£50.00,86,Not parked correctly within the markings of a bay or space 
01/04/2019 10:32,£0.00,Post NtO,Stockport Road (Longsight),Longsight,Affixed to vehicle,GV Loading Bay,£70.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/04/2019 10:33,-£35.00,Pre-NtO Discount,Daisy Bank Road (Ardwick),Ardwick,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 10:33,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 10:34,£0.00,Pre-NtO Full Rate,Dale Street,Piccadilly,Affixed to vehicle,No Loading at Any Time,£70.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
01/04/2019 10:35,£0.00,Cancelled,Bridgewater Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 10:36,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 10:37,-£25.00,Pre-NtO Discount,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
01/04/2019 10:38,-£70.00,Post NtO,Dale Street,Piccadilly,Affixed to vehicle,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
01/04/2019 10:41,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 10:41,-£70.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Handed To Driver,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 10:42,-£35.00,Pre-NtO Discount,Lloyd Street,Moss Side,Affixed to vehicle,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
01/04/2019 10:44,£0.00,Cancelled,Sheffield Street Car Park,Piccadilly,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/04/2019 10:50,-£25.00,Pre-NtO Discount,Sheffield Street Car Park,Piccadilly,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/04/2019 10:51,-£35.00,Pre-NtO Discount,Higher Ardwick,Ardwick,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 10:52,-£35.00,Pre-NtO Discount,Hardman Street,Deansgate,Affixed to vehicle,GV Loading Bay,£0.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/04/2019 10:53,-£35.00,Pre-NtO Discount,Ducie Street (City Centre : ZONEB),Piccadilly,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 10:54,-£25.00,Pre-NtO Discount,Faulkner Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
01/04/2019 10:55,-£25.00,Pre-NtO Discount,Atherton Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 10:57,-£35.00,Pre-NtO Discount,Higher Ardwick,Ardwick,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 10:58,-£25.00,Pre-NtO Discount,Atherton Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 10:58,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 10:59,£0.00,Post NtO,Golf Car Park,(None),Affixed to vehicle,Car Park,£50.00,86,Not parked correctly within the markings of a bay or space 
01/04/2019 11:02,-£25.00,Pre-NtO Discount,Dale Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 11:03,£0.00,Post NtO,Kennedy Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
01/04/2019 11:07,-£35.00,Pre-NtO Discount,Rainforth Street,Longsight,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 11:07,£0.00,Post NtO,John Dalton Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 11:07,-£30.00,Post NtO,Rochdale Road (Livesey Street to Thompson Street),Harpurhey,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 11:10,£0.00,Pre-NtO Full Rate,Kennedy Street,Deansgate,Affixed to vehicle,GV Loading Bay,£70.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/04/2019 11:12,-£35.00,Pre-NtO Discount,Kenworthy Lane,Northenden,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 11:12,-£30.00,Post NtO,Parrs Wood Lane (A34 to Burnage Lane),DidsburyEast,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/04/2019 11:13,£0.00,Post NtO,Lower Byrom Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/04/2019 11:16,£0.00,Post NtO,Lower Ormond Street (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
01/04/2019 11:17,£0.00,Cancelled,Byrom Street (City Centre : ZONEB),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 11:17,-£25.00,Pre-NtO Full Rate,Booth Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 11:21,-£25.00,Pre-NtO Discount,Thomas Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
01/04/2019 11:22,£0.00,Post NtO,Princess Street (Deansgate : ZONEB),Deansgate,Affixed to vehicle,Restricted Area,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/04/2019 11:22,-£25.00,Pre-NtO Discount,Byrom Street (City Centre : ZONEB),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
01/04/2019 11:23,£0.00,Pre-NtO Full Rate,Keppel Road,Chorlton,Affixed to vehicle,No Waiting At Any Time,£70.00,27,Parked adjacent to a dropped footway 
01/04/2019 11:23,-£35.00,Pre-NtO Discount,Cable Street,Piccadilly,Affixed to vehicle,Restricted Parking,£0.00,1,Parked in a restricted street during prescribed hours 
